loss_val,validation_accuracy_val,epoch,layers,units,activation,batch_size,regularization,optimizer_name,loss_type
0.30355989933013916,0.8789600133895874,4,1,32,tanh,512,,rmsprop,binary_crossentropy
0.08592741936445236,0.8833600282669067,4,1,32,tanh,512,dropout,adam,mse
0.2847834527492523,0.885200023651123,4,1,32,tanh,512,dropout,adam,binary_crossentropy
0.08427146822214127,0.8859599828720093,4,1,32,tanh,512,dropout,rmsprop,mse
0.28166842460632324,0.8864399790763855,4,1,32,tanh,512,dropout,rmsprop,binary_crossentropy
0.10786724835634232,0.8501200079917908,4,1,32,tanh,512,batchnorm,adam,mse
0.336505264043808,0.8593199849128723,4,1,32,tanh,512,batchnorm,adam,binary_crossentropy
0.09919137507677078,0.8638799786567688,4,1,32,tanh,512,batchnorm,rmsprop,mse
0.3296997547149658,0.8599600195884705,4,1,32,tanh,512,batchnorm,rmsprop,binary_crossentropy
0.09688632190227509,0.8715199828147888,4,1,32,relu,128,,adam,mse
0.3679651618003845,0.8687199950218201,4,1,32,relu,128,,adam,binary_crossentropy
0.09915707260370255,0.8688799738883972,4,1,32,relu,128,,rmsprop,mse
0.350796639919281,0.8709999918937683,4,1,32,relu,128,,rmsprop,binary_crossentropy
0.08836087584495544,0.8813599944114685,4,1,32,relu,128,dropout,adam,mse
0.2976445257663727,0.8830400109291077,4,1,32,relu,128,dropout,adam,binary_crossentropy
0.08710173517465591,0.8822399973869324,4,1,32,relu,128,dropout,rmsprop,mse
0.3089418411254883,0.8821600079536438,4,1,32,relu,128,dropout,rmsprop,binary_crossentropy
0.10468274354934692,0.8638799786567688,4,1,32,relu,128,batchnorm,adam,mse
0.4446701109409332,0.8589199781417847,4,1,32,relu,128,batchnorm,adam,binary_crossentropy
0.10521256923675537,0.8623999953269958,4,1,32,relu,128,batchnorm,rmsprop,mse
0.42372745275497437,0.8649200201034546,4,1,32,relu,128,batchnorm,rmsprop,binary_crossentropy
0.08761269599199295,0.8816800117492676,4,1,32,relu,512,,adam,mse
0.296930193901062,0.8821200132369995,4,1,32,relu,512,,adam,binary_crossentropy
0.08668570220470428,0.8829600214958191,4,1,32,relu,512,,rmsprop,mse
0.28991079330444336,0.8845599889755249,4,1,32,relu,512,,rmsprop,binary_crossentropy
0.08335874229669571,0.8871999979019165,4,1,32,relu,512,dropout,adam,mse
0.27542567253112793,0.8882799744606018,4,1,32,relu,512,dropout,adam,binary_crossentropy
0.08525221794843674,0.8849999904632568,4,1,32,relu,512,dropout,rmsprop,mse
0.2737008333206177,0.8907999992370605,4,1,32,relu,512,dropout,rmsprop,binary_crossentropy
0.10735408961772919,0.8684800267219543,4,1,32,relu,512,batchnorm,adam,mse
0.34302812814712524,0.8662400245666504,4,1,32,relu,512,batchnorm,adam,binary_crossentropy
0.11325755715370178,0.8560000061988831,4,1,32,relu,512,batchnorm,rmsprop,mse
0.3460105061531067,0.8578000068664551,4,1,32,relu,512,batchnorm,rmsprop,binary_crossentropy
0.10725317150354385,0.8649200201034546,4,1,64,tanh,128,,adam,mse
0.42282745242118835,0.8616399765014648,4,1,64,tanh,128,,adam,binary_crossentropy
0.10739396512508392,0.8639600276947021,4,1,64,tanh,128,,rmsprop,mse
0.3580268323421478,0.8687199950218201,4,1,64,tanh,128,,rmsprop,binary_crossentropy
0.09940037131309509,0.8700399994850159,4,1,64,tanh,128,dropout,adam,mse
0.3712121546268463,0.869159996509552,4,1,64,tanh,128,dropout,adam,binary_crossentropy
0.09266623109579086,0.8773999810218811,4,1,64,tanh,128,dropout,rmsprop,mse
0.3239090144634247,0.8777599930763245,4,1,64,tanh,128,dropout,rmsprop,binary_crossentropy
0.10458267480134964,0.8668400049209595,4,1,64,tanh,128,batchnorm,adam,mse
0.47787559032440186,0.8371999859809875,4,1,64,tanh,128,batchnorm,adam,binary_crossentropy
0.1032470315694809,0.8664799928665161,4,1,64,tanh,128,batchnorm,rmsprop,mse
0.359492689371109,0.8674399852752686,4,1,64,tanh,128,batchnorm,rmsprop,binary_crossentropy
0.09231828153133392,0.8748800158500671,4,1,64,tanh,512,,adam,mse
0.32672011852264404,0.8753200173377991,4,1,64,tanh,512,,adam,binary_crossentropy
0.09041396528482437,0.8785200119018555,4,1,64,tanh,512,,rmsprop,mse
0.3595041036605835,0.8648399710655212,4,1,64,tanh,512,,rmsprop,binary_crossentropy
0.08721186220645905,0.88264000415802,4,1,64,tanh,512,dropout,adam,mse
0.3016948401927948,0.8814399838447571,4,1,64,tanh,512,dropout,adam,binary_crossentropy
0.08718651533126831,0.8824399709701538,4,1,64,tanh,512,dropout,rmsprop,mse
0.2956855595111847,0.8823599815368652,4,1,64,tanh,512,dropout,rmsprop,binary_crossentropy
0.09860670566558838,0.864080011844635,4,1,64,tanh,512,batchnorm,adam,mse
0.3308860659599304,0.8604000210762024,4,1,64,tanh,512,batchnorm,adam,binary_crossentropy
0.10698262602090836,0.8527600169181824,4,1,64,tanh,512,batchnorm,rmsprop,mse
0.3310653567314148,0.8580399751663208,4,1,64,tanh,512,batchnorm,rmsprop,binary_crossentropy
0.10006796568632126,0.8687599897384644,4,1,64,relu,128,,adam,mse
0.39531609416007996,0.8654400110244751,4,1,64,relu,128,,adam,binary_crossentropy
0.10575069487094879,0.8628799915313721,4,1,64,relu,128,,rmsprop,mse
0.40082889795303345,0.858680009841919,4,1,64,relu,128,,rmsprop,binary_crossentropy
0.08955231308937073,0.8784400224685669,4,1,64,relu,128,dropout,adam,mse
0.32040178775787354,0.878600001335144,4,1,64,relu,128,dropout,adam,binary_crossentropy
0.08750397711992264,0.883080005645752,4,1,64,relu,128,dropout,rmsprop,mse
0.32179391384124756,0.88264000415802,4,1,64,relu,128,dropout,rmsprop,binary_crossentropy
0.1047581285238266,0.8614799976348877,4,1,64,relu,128,batchnorm,adam,mse
0.4375465214252472,0.861519992351532,4,1,64,relu,128,batchnorm,adam,binary_crossentropy
0.10148877650499344,0.8641600012779236,4,1,64,relu,128,batchnorm,rmsprop,mse
0.42141810059547424,0.8622000217437744,4,1,64,relu,128,batchnorm,rmsprop,binary_crossentropy
0.0931067019701004,0.8737999796867371,4,1,64,relu,512,,adam,mse
0.32137739658355713,0.8758400082588196,4,1,64,relu,512,,adam,binary_crossentropy
0.08785515278577805,0.8811200261116028,4,1,64,relu,512,,rmsprop,mse
0.2995220124721527,0.8816800117492676,4,1,64,relu,512,,rmsprop,binary_crossentropy
0.08446680754423141,0.8866400122642517,4,1,64,relu,512,dropout,adam,mse
0.2824759781360626,0.8859599828720093,4,1,64,relu,512,dropout,adam,binary_crossentropy
0.08299297094345093,0.8867999911308289,4,1,64,relu,512,dropout,rmsprop,mse
0.277930349111557,0.8885200023651123,4,1,64,relu,512,dropout,rmsprop,binary_crossentropy
0.10831071436405182,0.8676400184631348,4,1,64,relu,512,batchnorm,adam,mse
0.338874876499176,0.8650000095367432,4,1,64,relu,512,batchnorm,adam,binary_crossentropy
0.109405018389225,0.8591200113296509,4,1,64,relu,512,batchnorm,rmsprop,mse
0.3398906886577606,0.8597599864006042,4,1,64,relu,512,batchnorm,rmsprop,binary_crossentropy
0.10902568697929382,0.865119993686676,4,2,16,tanh,128,,adam,mse
0.3951611816883087,0.8666399717330933,4,2,16,tanh,128,,adam,binary_crossentropy
0.10371127724647522,0.8674799799919128,4,2,16,tanh,128,,rmsprop,mse
0.3504352271556854,0.8687999844551086,4,2,16,tanh,128,,rmsprop,binary_crossentropy
0.10079116374254227,0.8731600046157837,4,2,16,tanh,128,dropout,adam,mse
0.36126425862312317,0.8700000047683716,4,2,16,tanh,128,dropout,adam,binary_crossentropy
0.10595781356096268,0.8675600290298462,4,2,16,tanh,128,dropout,rmsprop,mse
0.3175945580005646,0.8815199732780457,4,2,16,tanh,128,dropout,rmsprop,binary_crossentropy
0.11038194596767426,0.8569200038909912,4,2,16,tanh,128,batchnorm,adam,mse
0.41079026460647583,0.8623200058937073,4,2,16,tanh,128,batchnorm,adam,binary_crossentropy
0.10327856242656708,0.8637999892234802,4,2,16,tanh,128,batchnorm,rmsprop,mse
0.36626994609832764,0.8660399913787842,4,2,16,tanh,128,batchnorm,rmsprop,binary_crossentropy
0.09395108371973038,0.8726800084114075,4,2,16,tanh,512,,adam,mse
0.3200478255748749,0.8758400082588196,4,2,16,tanh,512,,adam,binary_crossentropy
0.09287203848361969,0.877240002155304,4,2,16,tanh,512,,rmsprop,mse
0.3272818624973297,0.8766400218009949,4,2,16,tanh,512,,rmsprop,binary_crossentropy
0.08376973867416382,0.8865600228309631,4,2,16,tanh,512,dropout,adam,mse
0.2877083420753479,0.8862400054931641,4,2,16,tanh,512,dropout,adam,binary_crossentropy
0.08562038838863373,0.8861600160598755,4,2,16,tanh,512,dropout,rmsprop,mse
0.2960367500782013,0.8848400115966797,4,2,16,tanh,512,dropout,rmsprop,binary_crossentropy
0.10233702510595322,0.8610000014305115,4,2,16,tanh,512,batchnorm,adam,mse
0.32885268330574036,0.8658400177955627,4,2,16,tanh,512,batchnorm,adam,binary_crossentropy
0.13216876983642578,0.820360004901886,4,2,16,tanh,512,batchnorm,rmsprop,mse
0.3374807834625244,0.8629199862480164,4,2,16,tanh,512,batchnorm,rmsprop,binary_crossentropy
0.1007334440946579,0.8696799874305725,4,2,16,relu,128,,adam,mse
0.39327600598335266,0.8655999898910522,4,2,16,relu,128,,adam,binary_crossentropy
0.09726723283529282,0.872439980506897,4,2,16,relu,128,,rmsprop,mse
0.36077937483787537,0.8711199760437012,4,2,16,relu,128,,rmsprop,binary_crossentropy
0.08663097023963928,0.8855999708175659,4,2,16,relu,128,dropout,adam,mse
0.3148360848426819,0.8794000148773193,4,2,16,relu,128,dropout,adam,binary_crossentropy
0.09735705703496933,0.8765599727630615,4,2,16,relu,128,dropout,rmsprop,mse
0.3049243092536926,0.8873599767684937,4,2,16,relu,128,dropout,rmsprop,binary_crossentropy
0.10614774376153946,0.8626400232315063,4,2,16,relu,128,batchnorm,adam,mse
0.45359039306640625,0.8545200228691101,4,2,16,relu,128,batchnorm,adam,binary_crossentropy
0.1044495478272438,0.8637999892234802,4,2,16,relu,128,batchnorm,rmsprop,mse
0.41739287972450256,0.8606799840927124,4,2,16,relu,128,batchnorm,rmsprop,binary_crossentropy
0.0870872363448143,0.8823599815368652,4,2,16,relu,512,,adam,mse
0.30349501967430115,0.8798800110816956,4,2,16,relu,512,,adam,binary_crossentropy
0.09031077474355698,0.8773999810218811,4,2,16,relu,512,,rmsprop,mse
0.3653879165649414,0.8570399880409241,4,2,16,relu,512,,rmsprop,binary_crossentropy
0.08348604291677475,0.8877599835395813,4,2,16,relu,512,dropout,adam,mse
0.2757796049118042,0.89055997133255,4,2,16,relu,512,dropout,adam,binary_crossentropy
0.0826863944530487,0.888159990310669,4,2,16,relu,512,dropout,rmsprop,mse
0.2798484265804291,0.8889999985694885,4,2,16,relu,512,dropout,rmsprop,binary_crossentropy
0.11226052045822144,0.8673200011253357,4,2,16,relu,512,batchnorm,adam,mse
0.37013715505599976,0.8444799780845642,4,2,16,relu,512,batchnorm,adam,binary_crossentropy
0.12017130106687546,0.8586400151252747,4,2,16,relu,512,batchnorm,rmsprop,mse
0.3325875699520111,0.8637999892234802,4,2,16,relu,512,batchnorm,rmsprop,binary_crossentropy
0.11030120402574539,0.8650799989700317,4,2,32,tanh,128,,adam,mse
0.4474010169506073,0.8543599843978882,4,2,32,tanh,128,,adam,binary_crossentropy
0.10736290365457535,0.8651599884033203,4,2,32,tanh,128,,rmsprop,mse
0.36291179060935974,0.8649200201034546,4,2,32,tanh,128,,rmsprop,binary_crossentropy
0.10115377604961395,0.8734400272369385,4,2,32,tanh,128,dropout,adam,mse
0.36859551072120667,0.8690400123596191,4,2,32,tanh,128,dropout,adam,binary_crossentropy
0.09490404278039932,0.8782399892807007,4,2,32,tanh,128,dropout,rmsprop,mse
0.31962713599205017,0.8790799975395203,4,2,32,tanh,128,dropout,rmsprop,binary_crossentropy
0.10380806028842926,0.8638399839401245,4,2,32,tanh,128,batchnorm,adam,mse
0.4225596487522125,0.8656399846076965,4,2,32,tanh,128,batchnorm,adam,binary_crossentropy
0.10094035416841507,0.8644400238990784,4,2,32,tanh,128,batchnorm,rmsprop,mse
0.3729119896888733,0.8633999824523926,4,2,32,tanh,128,batchnorm,rmsprop,binary_crossentropy
0.10181905329227448,0.870639979839325,4,2,32,tanh,512,,adam,mse
0.38852009177207947,0.8684800267219543,4,2,32,tanh,512,,adam,binary_crossentropy
0.10941889882087708,0.8595200181007385,4,2,32,tanh,512,,rmsprop,mse
0.3318743109703064,0.8757200241088867,4,2,32,tanh,512,,rmsprop,binary_crossentropy
0.09005460888147354,0.8804000020027161,4,2,32,tanh,512,dropout,adam,mse
0.33411112427711487,0.8780800104141235,4,2,32,tanh,512,dropout,adam,binary_crossentropy
0.09615186601877213,0.8750399947166443,4,2,32,tanh,512,dropout,rmsprop,mse
0.34038668870925903,0.8715199828147888,4,2,32,tanh,512,dropout,rmsprop,binary_crossentropy
0.09759292006492615,0.8658400177955627,4,2,32,tanh,512,batchnorm,adam,mse
0.3360821604728699,0.8658000230789185,4,2,32,tanh,512,batchnorm,adam,binary_crossentropy
0.10055948048830032,0.8608800172805786,4,2,32,tanh,512,batchnorm,rmsprop,mse
0.35495907068252563,0.8578000068664551,4,2,32,tanh,512,batchnorm,rmsprop,binary_crossentropy
0.10609081387519836,0.8673999905586243,4,2,32,relu,128,,adam,mse
0.44719234108924866,0.8587999939918518,4,2,32,relu,128,,adam,binary_crossentropy
0.09871562570333481,0.8718799948692322,4,2,32,relu,128,,rmsprop,mse
0.37129098176956177,0.8711599707603455,4,2,32,relu,128,,rmsprop,binary_crossentropy
0.09098060429096222,0.8831999897956848,4,2,32,relu,128,dropout,adam,mse
0.31827062368392944,0.8805599808692932,4,2,32,relu,128,dropout,adam,binary_crossentropy
0.08972450345754623,0.8849599957466125,4,2,32,relu,128,dropout,rmsprop,mse
0.34174129366874695,0.8812000155448914,4,2,32,relu,128,dropout,rmsprop,binary_crossentropy
0.10742752254009247,0.8604400157928467,4,2,32,relu,128,batchnorm,adam,mse
0.47930702567100525,0.856719970703125,4,2,32,relu,128,batchnorm,adam,binary_crossentropy
0.10939452052116394,0.8582000136375427,4,2,32,relu,128,batchnorm,rmsprop,mse
0.48625922203063965,0.860759973526001,4,2,32,relu,128,batchnorm,rmsprop,binary_crossentropy
0.09607335180044174,0.8718000054359436,4,2,32,relu,512,,adam,mse
0.36330801248550415,0.8709999918937683,4,2,32,relu,512,,adam,binary_crossentropy
0.0869697779417038,0.882319986820221,4,2,32,relu,512,,rmsprop,mse
0.3977537155151367,0.8547199964523315,4,2,32,relu,512,,rmsprop,binary_crossentropy
0.0842743068933487,0.8863599896430969,4,2,32,relu,512,dropout,adam,mse
0.28019315004348755,0.8877599835395813,4,2,32,relu,512,dropout,adam,binary_crossentropy
0.08239934593439102,0.8903599977493286,4,2,32,relu,512,dropout,rmsprop,mse
0.3018978536128998,0.8835600018501282,4,2,32,relu,512,dropout,rmsprop,binary_crossentropy
0.11865948140621185,0.8386399745941162,4,2,32,relu,512,batchnorm,adam,mse
0.4200781285762787,0.8042399883270264,4,2,32,relu,512,batchnorm,adam,binary_crossentropy
0.1150519922375679,0.847320020198822,4,2,32,relu,512,batchnorm,rmsprop,mse
0.3595900535583496,0.8429999947547913,4,2,32,relu,512,batchnorm,rmsprop,binary_crossentropy
0.11295688152313232,0.8633999824523926,4,2,64,tanh,128,,adam,mse
0.43734315037727356,0.8602799773216248,4,2,64,tanh,128,,adam,binary_crossentropy
0.10473185777664185,0.8644000291824341,4,2,64,tanh,128,,rmsprop,mse
0.35377851128578186,0.8688799738883972,4,2,64,tanh,128,,rmsprop,binary_crossentropy
0.10536922514438629,0.8692399859428406,4,2,64,tanh,128,dropout,adam,mse
0.3843032717704773,0.8661199808120728,4,2,64,tanh,128,dropout,adam,binary_crossentropy
0.09654033929109573,0.8775200247764587,4,2,64,tanh,128,dropout,rmsprop,mse
0.3478173315525055,0.8684800267219543,4,2,64,tanh,128,dropout,rmsprop,binary_crossentropy
0.10459756851196289,0.8601199984550476,4,2,64,tanh,128,batchnorm,adam,mse
0.41400739550590515,0.8641200065612793,4,2,64,tanh,128,batchnorm,adam,binary_crossentropy
0.10041141510009766,0.8644800186157227,4,2,64,tanh,128,batchnorm,rmsprop,mse
0.3828183114528656,0.8650000095367432,4,2,64,tanh,128,batchnorm,rmsprop,binary_crossentropy
0.1090128943324089,0.8653200268745422,4,2,64,tanh,512,,adam,mse
0.4406725764274597,0.8617200255393982,4,2,64,tanh,512,,adam,binary_crossentropy
0.09849405288696289,0.8741199970245361,4,2,64,tanh,512,,rmsprop,mse
0.4372851252555847,0.8402400016784668,4,2,64,tanh,512,,rmsprop,binary_crossentropy
0.09858202934265137,0.8730000257492065,4,2,64,tanh,512,dropout,adam,mse
0.3719888925552368,0.870199978351593,4,2,64,tanh,512,dropout,adam,binary_crossentropy
0.09962976723909378,0.8701599836349487,4,2,64,tanh,512,dropout,rmsprop,mse
0.38383540511131287,0.8591600060462952,4,2,64,tanh,512,dropout,rmsprop,binary_crossentropy
0.09512191265821457,0.8689200282096863,4,2,64,tanh,512,batchnorm,adam,mse
0.36547723412513733,0.8586400151252747,4,2,64,tanh,512,batchnorm,adam,binary_crossentropy
0.11387133598327637,0.842199981212616,4,2,64,tanh,512,batchnorm,rmsprop,mse
0.46089377999305725,0.8189600110054016,4,2,64,tanh,512,batchnorm,rmsprop,binary_crossentropy
0.10816238075494766,0.8653200268745422,4,2,64,relu,128,,adam,mse
0.449278324842453,0.860759973526001,4,2,64,relu,128,,adam,binary_crossentropy
0.09848741441965103,0.8727999925613403,4,2,64,relu,128,,rmsprop,mse
0.4602895975112915,0.8682399988174438,4,2,64,relu,128,,rmsprop,binary_crossentropy
0.09299233555793762,0.8766400218009949,4,2,64,relu,128,dropout,adam,mse
0.3539571762084961,0.8779199719429016,4,2,64,relu,128,dropout,adam,binary_crossentropy
